Latitude,Longitude,Depth(m)
47.1335595094653,-122.560262481388,24.78
47.1335472492866,-122.560190618993,24.74
47.1335165988275,-122.560127739398,24.76
47.1334859483505,-122.560064859803,24.76
47.1334491677548,-122.560001980208,24.78
47.1334123871335,-122.559939100613,24.84
47.1333817365961,-122.559876221018,24.84
47.1333449559278,-122.559813341423,24.74
47.133308175234,-122.559750461828,24.80
47.1332713945145,-122.559696565032,24.71
47.1332284836428,-122.559642668237,24.84
47.1331978329988,-122.559588771441,24.67
47.1331487919314,-122.559507926247,24.61
47.133112011101,-122.559454029452,24.63
47.133075230245,-122.559391149857,25.33
47.1330445795122,-122.559328270262,24.93
47.1330077986092,-122.559274373466,24.55
47.1329771478373,-122.559211493871,24.67
47.1329464970475,-122.559148614276,24.48
47.1329097160763,-122.559085734681,24.52
47.1328729350796,-122.559031837885,24.40
47.1328361540572,-122.55896895829,24.29
47.1328055031857,-122.558906078695,24.29
47.1327625919357,-122.558852181899,24.40
47.1327258108365,-122.558807267903,24.12
47.1326890297118,-122.558744388308,24.12
47.1326522485614,-122.558690491512,23.79
47.1326154673854,-122.558636594717,24.00
47.1325786861839,-122.558582697921,23.77
47.1325419049568,-122.558528801125,23.75
47.132505123704,-122.55846592153,23.58
47.1324683424257,-122.558412024734,23.36
47.1324315611217,-122.558358127939,23.22
47.1323886495681,-122.558313213942,23.22
47.1323273472882,-122.558313213942,23.18
47.1323886495681,-122.558232368749,22.78
47.1323334775194,-122.558205420351,22.27
47.1323028263564,-122.558151523555,22.25
47.1322599146983,-122.558106609559,22.42
47.1322231332493,-122.558061695562,22.56
47.1321924820222,-122.557998815967,22.86
47.1321557005263,-122.557944919172,22.84
47.1321127887487,-122.557891022376,23.01
47.1320821374577,-122.557828142781,22.78
47.132045355885,-122.557774245985,22.42
47.1320024440178,-122.557720349189,22.00
47.1319595321158,-122.557666452394,22.10
47.1319288807359,-122.557603572799,21.66
47.1318920990565,-122.557549676003,21.62
47.1318553173516,-122.557495779207,21.24
47.1318124053301,-122.557441882411,20.96
47.1317756235697,-122.557379002816,20.46
47.1317388417837,-122.55733408882,19.76
47.1316959296676,-122.557280192024,19.29
47.1316530175167,-122.557226295229,18.70
47.1316162356454,-122.557172398433,18.47
47.1315794537485,-122.557118501637,18.28
47.1315426718259,-122.557055622042,18.28
47.1314997595506,-122.557010708046,18.45
47.1314691079041,-122.556947828451,18.45
47.1314323259047,-122.556884948856,18.58
47.1313955438798,-122.55683105206,18.39
47.1313587618293,-122.556777155264,18.39
47.1313219797532,-122.556714275669,18.28
47.1312913280035,-122.556660378874,17.54
47.1312606762361,-122.556597499279,17.29
47.1312238940917,-122.556534619683,16.95
47.1311871119217,-122.556480722888,16.39
47.1311503297262,-122.556426826092,15.77
47.131113547505,-122.556372929296,15.31
47.1310706348813,-122.556310049701,14.91
47.1310338526047,-122.556256152906,14.64
47.1309970703024,-122.55620225611,14.17
47.1309602879746,-122.556139376515,13.41
47.1309235056212,-122.556085479719,12.70
47.1308867232422,-122.556022600124,11.87
47.1308499408376,-122.555968703328,11.15
47.1308131584073,-122.555914806533,10.44
47.1307763759515,-122.555860909737,9.64
47.1307518543001,-122.555807012941,8.86
47.1307273326373,-122.555753116146,8.20
47.1306966805428,-122.555708202149,7.78
47.1306598980059,-122.555654305353,7.34
47.1306292458723,-122.555591425758,7.04
47.1305985937209,-122.555546511762,6.90
47.1305556806791,-122.555492614966,6.75
47.1305188980441,-122.555438718171,6.75
47.1304882458287,-122.555384821375,6.73
47.1304453326973,-122.555330924579,6.56
47.1304085499856,-122.555286010583,6.33
47.1303717672482,-122.555232113787,6.16
47.1303349844852,-122.55518719979,5.88
47.1303043321632,-122.555133302995,5.55
47.1302736798234,-122.555079406199,5.17
47.1302430274658,-122.555025509403,4.83
47.1302246360427,-122.554962629808,4.36
47.1302246360427,-122.554890767414,3.92
47.1302307665177,-122.554827887819,3.50
47.1302552884109,-122.554773991023,3.18
47.1302920712294,-122.554711111428,2.91
47.1303227235585,-122.554666197432,2.85
47.1303533758699,-122.554621283435,2.72
47.1303901586201,-122.55456738664,2.61
47.1304208108923,-122.554513489844,2.51
47.1304453326973,-122.554459593048,2.43
47.130469854491,-122.554396713453,2.36
47.1304943762732,-122.554324851059,2.43
47.1305250284851,-122.554252988665,2.36
47.1305495502417,-122.554199091869,2.34
47.1305679415518,-122.554136212274,2.36
47.1305863328554,-122.554073332679,2.47
47.1306047241526,-122.554010453084,2.59
47.1306476371546,-122.553974521887,2.81
47.1306905501217,-122.554001470285,2.97
47.1307212022198,-122.55406434988,3.25
47.1307457238855,-122.554118246675,3.48
47.130757984714,-122.55419010907,3.78
47.1307825063626,-122.554252988665,4.13
47.1308192888141,-122.55430688546,4.64
47.1308499408376,-122.554360782256,4.98
47.1308744624435,-122.554414679052,5.12
47.1309051144349,-122.554477558647,5.19
47.1309296360152,-122.554531455443,5.12
47.1309602879746,-122.554585352238,5.12
47.1309848095293,-122.554648231833,4.89
47.1310032006879,-122.554711111428,4.68
47.1310338526047,-122.554765008224,4.53
47.1310645045036,-122.554827887819,4.53
47.13108902601,-122.554881784615,4.68
47.131113547505,-122.55494466421,4.89
47.1311441993577,-122.555007543805,5.46
47.1311748511927,-122.5550704234,5.78
47.1312055030099,-122.555124320195,6.47
47.1312422851671,-122.55519618259,7.57
47.1312729369452,-122.555250079385,8.62
47.1313035887055,-122.55531295898,9.57
47.1313342404481,-122.555375838576,10.46
47.1313648921728,-122.555429735371,11.22
47.1314016742191,-122.555492614966,11.73
47.1314384562397,-122.555546511762,12.50
47.1314691079041,-122.555609391357,13.29
47.1314997595506,-122.555663288153,13.90
47.1315242808551,-122.555717184948,14.51
47.1315549324696,-122.555771081744,15.14
47.1315855840664,-122.55582497854,15.99
47.1316223659591,-122.555887858135,16.55
47.1316652781348,-122.555941754931,17.14
47.1316959296676,-122.555995651726,17.90
47.1317327114835,-122.556049548522,18.33
47.1317633629772,-122.556103445318,19.04
47.1317878841593,-122.556157342113,19.48
47.131818535621,-122.556211238909,19.97
47.1318491870649,-122.556265135705,20.71
47.1318859687741,-122.5563280153,21.36
47.1319166201789,-122.556381912096,21.59
47.13194114129,-122.556435808891,21.57
47.1319779229352,-122.556489705687,21.59
47.1320085742867,-122.556543602483,21.59
47.1320576164121,-122.556633430476,21.91
47.1320882677173,-122.556678344472,22.02
47.1321189190048,-122.556732241268,22.39
47.1321495702745,-122.556786138064,22.92
47.1321802215264,-122.55683105206,22.88
47.1322047425152,-122.556884948856,22.82
47.1322353937351,-122.556938845651,22.96
47.1322660449373,-122.556992742447,23.18
47.1322966961217,-122.557046639243,23.39
47.1323212170564,-122.557100536039,23.91
47.1323518682088,-122.557154432834,23.96
47.1323886495681,-122.55720832963,24.29
47.1324254309019,-122.557271209225,24.40
47.1324622122101,-122.557325106021,24.46
47.1324928632808,-122.557370020017,24.00
47.1325235143336,-122.557423916813,24.63
47.1325664257777,-122.557495779207,24.34
47.1325970767879,-122.557540693204,24.12
47.1326338579766,-122.557594589999,23.89
47.1326645089477,-122.557639503996,23.51
47.1326890297118,-122.557693400792,23.37
47.1327196806508,-122.557747297587,23.20
47.1327503315721,-122.557801194383,23.47
47.1327871126542,-122.557864073978,23.87
47.1328177635364,-122.557908987974,23.58
47.1328545445716,-122.55796288477,23.75
47.1328913255811,-122.558007798767,23.75
47.1329219764029,-122.558061695562,23.45
47.1329587573655,-122.558106609559,23.64
47.1329894081482,-122.558160506354,23.83
47.1330200589131,-122.55821440315,24.15
47.1330568398074,-122.558268299946,24.69
47.1330874905332,-122.558313213942,25.03
47.1331181412412,-122.558367110738,25.05
47.1331549220673,-122.558412024734,25.39
47.1331855727362,-122.55846592153,24.59
47.1332284836428,-122.558519818326,24.72
47.1332713945145,-122.558573715122,24.76
47.133308175234,-122.558636594717,24.78
47.1333449559278,-122.558690491512,24.88
47.1333817365961,-122.558753371107,24.93
47.1334246473434,-122.558807267903,25.01
47.1334614279562,-122.558861164699,24.97
47.1334920784474,-122.558906078695,25.03
47.1335227289207,-122.558959975491,24.99
47.1335656395535,-122.559013872287,25.12
47.1335962899842,-122.559076751882,24.93
47.1336330704776,-122.559139631477,24.97
47.1336759810208,-122.559193528272,24.91
47.1337066313875,-122.559238442269,24.91
47.1337434118041,-122.559292339065,24.86
47.1337863222577,-122.55934623586,24.88
47.1338231026188,-122.559409115455,24.78
47.1338537529002,-122.559463012251,24.82
47.1338905332144,-122.559525891846,24.86
47.1339211834567,-122.559579788642,24.86
47.1339579637239,-122.559642668237,24.78
47.1339886139271,-122.559696565032,24.76
47.1340253941474,-122.559759444627,24.78
47.1340683043721,-122.559813341423,24.74
47.1341112145619,-122.559867238219,24.84
47.1341479946969,-122.559921135015,24.82
47.1341909048221,-122.55997503181,24.76
47.1342276849016,-122.560028928606,24.84
47.1342583349484,-122.560091808201,24.86
47.1342889849773,-122.560145704997,24.82
47.1343257649886,-122.560199601793,24.84
47.1343686749694,-122.560253498588,24.82
47.1343993249344,-122.560307395384,24.84
47.1344361048689,-122.560370274979,24.86
47.1344851447417,-122.560415188975,24.86
47.1345403145442,-122.56047806857,24.88
47.1345709644097,-122.560531965366,24.95
47.1346138741914,-122.56060382776,24.91
47.1346506539766,-122.560666707355,24.97
47.1346874337361,-122.560720604151,24.93
47.1347242134701,-122.560783483746,24.95
47.1347609931785,-122.560837380542,25.01
47.1348039028059,-122.560891277338,24.99
47.1348468123985,-122.560945174133,25.09
47.1348897219563,-122.560999070929,25.07
47.1349265015495,-122.561052967725,25.09
47.1349632811171,-122.56110686452,25.09
47.1350000606591,-122.561160761316,25.12
47.1350429700924,-122.561214658112,25.22
47.1350797495789,-122.561268554908,25.24
47.1351226589476,-122.561322451703,25.26
47.1351533084752,-122.561376348499,25.24
47.1351962177841,-122.561430245295,25.31
47.135232997164,-122.561484142091,25.35
47.1352697765183,-122.561538038886,25.41
47.135306555847,-122.561591935682,25.49
47.135337205268,-122.561636849678,25.52
47.1353678546713,-122.561690746474,25.58
47.1354046339317,-122.561753626069,25.62
47.1354414131666,-122.561807522865,25.69
47.1354843222415,-122.561852436861,25.66
47.1355272312817,-122.561906333657,25.77
47.135570140287,-122.561960230453,25.79
47.1356069194066,-122.562014127248,25.85
47.1356375686534,-122.562077006843,26.02
47.1356682178825,-122.562139886438,25.94
47.1357049969339,-122.562202766033,25.98
47.1357479057948,-122.562256662829,26.06
47.1357846847908,-122.562310559625,26.15
47.1358214637611,-122.562364456421,26.19
47.1358582427058,-122.562427336016,26.27
47.1359195408902,-122.562490215611,26.38
47.1359563197667,-122.562544112406,26.46
47.1359992284236,-122.562589026403,26.55
47.1360360072446,-122.562642923199,26.63
47.1360666562425,-122.562705802794,26.65
47.1361095648098,-122.562759699589,26.91
47.1361463435541,-122.562822579184,26.87
47.1361953818399,-122.562894441579,26.95
47.1362382903027,-122.562948338374,27.06
47.1362811987306,-122.562993252371,27.10
47.1363179773554,-122.563056131966,27.14
47.1363547559546,-122.563119011561,27.43
47.1363792750065,-122.563181891156,27.29
47.1364221833199,-122.563244770751,27.48
47.1364712213498,-122.563262736349,27.54
47.136526389079,-122.563262736349,27.58
47.1365876864883,-122.563235787951,27.71
47.1366244648998,-122.563199856754,27.54
47.136673502742,-122.563154942758,27.56
47.1367102810937,-122.563092063163,27.54
47.1367347999806,-122.563011217969,27.50
47.1367531891384,-122.562939355575,27.35
47.1367654485733,-122.562867493181,27.31
47.1367960971482,-122.562795630786,27.27
47.1368267457054,-122.562741733991,27.18
47.1368635239505,-122.562678854396,27.18
47.1368941724685,-122.562615974801,27.22
47.1369248209687,-122.562553095206,27.16
47.1369554694512,-122.562490215611,27.10
47.1369861179159,-122.562427336016,27.24
47.1370167663628,-122.56237343922,27.06
47.1370535444757,-122.562310559625,26.99
47.1370903225629,-122.562256662829,27.01
47.1371271006246,-122.562193783234,27.20
47.1371638786606,-122.562130903639,27.06
47.1372006566711,-122.562068024044,26.95
47.1372313049936,-122.562005144449,26.87
47.1372680829571,-122.561942264854,26.89
47.1373048608951,-122.56187040246,26.76
47.1373416388074,-122.561807522865,26.70
47.1373722870481,-122.56174464327,26.66
47.1374029352711,-122.561681763675,26.70
47.1374397131152,-122.561627866879,26.66
47.137470361299,-122.561564987284,26.65
47.1375071390962,-122.56149312489,26.61
47.1375439168677,-122.561430245295,26.59
47.1375745649911,-122.5613673657,26.44
47.1376113427158,-122.561304486105,26.47
47.1376419908,-122.56124160651,26.44
47.1376787684777,-122.561178726915,26.28
47.1377155461298,-122.56111584732,26.38
47.1377523237564,-122.561052967725,26.30
47.1377829717589,-122.56099008813,26.28
47.1378136197437,-122.560927208535,26.27
47.1378503973019,-122.56086432894,26.27
47.1378933044208,-122.560801449345,26.27
